id,title,revenue,runtime,budget,original_title,release_year,release_month,top_cast_count,top_writers_count,top_director_count,top_producers_count,top_production_companies_count,historical_vote_average,historical_vote_count,historical_imdb_votes,historical_imdb_rating,historical_popularity,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,is_english,spoken_has_english,success,budget_log,historical_vote_count_log,iso_outlier
401,Garden State,26781723.0,102.0,2500000.0,Garden State,2004.0,7.0,0,0,0,0,0,6.317681796907103,509.13857548414256,34294.71086233027,6.641531533711048,3.518554339064339,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,14.731801689838349,6.234682405445666,0
2270,Stardust,137500000.0,127.0,70000000.0,Stardust,2007.0,8.0,1,0,0,0,2,6.335848274331287,1286.8623701913154,63199.523007897966,6.516663722723001,4.454788680078247,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,18.064005814299346,7.160739045513324,0
20526,TRON: Legacy,409912892.0,126.0,170000000.0,TRON: Legacy,2010.0,12.0,0,0,0,0,1,6.182382326142887,1250.2314410080978,72651.89822069327,6.308187733908443,4.491593910696914,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,18.951309000896888,7.1318834981582695,0
393519,Raw,4100000.0,99.0,3500000.0,Grave,2016.0,11.0,0,0,0,0,0,6.26305989845063,831.0465924334246,50569.038442768455,6.351336495449177,4.008009522034988,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.068273812173887,6.723888439774181,0
11917,Saw V,118209778.0,95.0,10800000.0,Saw V,2008.0,10.0,0,2,0,0,0,6.416280218677412,909.166179185801,58494.07094085567,6.498619412165406,4.177616180531467,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,16.195056784687036,6.813627197328791,0
14358,Mad Hot Ballroom,9400000.0,105.0,500000.0,Mad Hot Ballroom,2005.0,5.0,0,0,0,0,0,6.305709252264166,882.4601386502205,38140.13830208921,6.832683770972484,3.779399680413988,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13.122365377402328,6.783846173198314,0
59440,Warrior,23300000.0,140.0,25000000.0,Warrior,2011.0,9.0,0,0,0,0,1,6.292837106388628,848.7835467607563,55929.93871967669,6.532479580780485,3.890370072712569,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17.034386422832473,6.744981666185625,0
12771,Serving Sara,16930185.0,100.0,29000000.0,Serving Sara,2002.0,8.0,0,0,0,0,0,6.223303797593179,498.029167146065,32011.62721302464,6.551339333799088,3.611770743239574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17.182806422433504,6.212664545237833,0
241258,Incarnate,6341855.0,87.0,5000000.0,Incarnate,2016.0,12.0,0,0,0,1,0,6.3443202147645,1083.4913860598424,64162.429799409554,6.321520832673494,4.231103331196849,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,15.424948670398354,6.988866387459767,0
426230,Band Aid,248370.0,91.0,10000000.0,Band Aid,2017.0,6.0,0,0,0,0,0,6.293211396076546,585.6322873707059,37159.58811122075,6.579815725978658,3.575324737105411,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,16.118095750958314,6.374398196574317,0
510298,Seberg,592565.0,103.0,8000000.0,Seberg,2019.0,12.0,0,0,0,0,1,6.460758274733657,983.0597034051218,62623.42898842287,6.684539841104439,3.923460071048184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,15.894952224644102,6.891686569403846,0
8010,Highlander II: The Quickening,15556340.0,100.0,34000000.0,Highlander II: The Quickening,1991.0,1.0,0,0,0,0,0,6.236569780401848,939.3243772884256,51164.02930222292,6.438741640292638,4.187402632186636,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,17.341871111992198,6.846224897958603,0
5353,The Hunting Party,7600000.0,101.0,15000000.0,The Hunting Party,2007.0,9.0,0,0,0,0,0,6.3828047298972015,934.684576517702,58809.51366257669,6.588787349994086,3.966927169694895,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,16.52356082573315,6.841278428783508,0
10064,Edison,4165675.0,99.0,25000000.0,Edison,2005.0,7.0,1,0,0,4,1,6.408782096921004,815.5885732133966,54404.11081438972,6.625462172707195,3.7916270692161578,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,17.034386422832473,6.705135385661679,0
147441,Exodus: Gods and Kings,268031828.0,150.0,140000000.0,Exodus: Gods and Kings,2014.0,12.0,0,0,1,0,2,6.297516882178058,1121.9250215588197,66305.76069848744,6.512259638652892,4.164722600575254,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18.757152987716434,7.023692186310745,0
20533,Jonah Hex,10539000.0,82.0,47000000.0,Jonah Hex,2010.0,6.0,0,0,0,0,1,6.337769461327731,1038.1267319889853,61734.21307162613,6.529641574682732,4.059820104389158,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,17.665658180950928,6.946135958626224,0
